SCAN_SN,PCBA_SN,WiFi1MAC,BT_MAC,WiFi2MAC,SCAN_TIME
,1945BY0122,28FD80A16FFF,28FD80A17000,28FD80A17001,
,1945PO0001,28FD80A17002,28FD80A17003,28FD80A17004,
,1945PO0002,28FD80A17005,28FD80A17006,28FD80A17007,
,1945PO0003,28FD80A17008,28FD80A17009,28FD80A1700A,
,1945PO0004,28FD80A1700B,28FD80A1700C,28FD80A1700D,
,1945PO0005,28FD80A1700E,28FD80A1700F,28FD80A17010,
,1945PO0006,28FD80A17011,28FD80A17012,28FD80A17013,
,1945PO0007,28FD80A17014,28FD80A17015,28FD80A17016,
,1945PO0008,28FD80A17017,28FD80A17018,28FD80A17019,
,1945PO0009,28FD80A1701A,28FD80A1701B,28FD80A1701C,
,1945PO0010,28FD80A1701D,28FD80A1701E,28FD80A1701F,
,1945PO0011,28FD80A17020,28FD80A17021,28FD80A17022,
,1945PO0012,28FD80A17023,28FD80A17024,28FD80A17025,
,1945PO0013,28FD80A17026,28FD80A17027,28FD80A17028,
,1945PO0014,28FD80A17029,28FD80A1702A,28FD80A1702B,
,1945PO0015,28FD80A1702C,28FD80A1702D,28FD80A1702E,
,1945PO0016,28FD80A1702F,28FD80A17030,28FD80A17031,
,1945PO0017,28FD80A17032,28FD80A17033,28FD80A17034,
,1945PO0018,28FD80A17035,28FD80A17036,28FD80A17037,
,1945PO0019,28FD80A17038,28FD80A17039,28FD80A1703A,
,1945PO0020,28FD80A1703B,28FD80A1703C,28FD80A1703D,
,1945PO0021,28FD80A1703E,28FD80A1703F,28FD80A17040,
,1945PO0022,28FD80A17041,28FD80A17042,28FD80A17043,
,1945PO0023,28FD80A17044,28FD80A17045,28FD80A17046,
,1945PO0024,28FD80A17047,28FD80A17048,28FD80A17049,
,1945PO0025,28FD80A1704A,28FD80A1704B,28FD80A1704C,
,1945PO0026,28FD80A1704D,28FD80A1704E,28FD80A1704F,
,1945PO0027,28FD80A17050,28FD80A17051,28FD80A17052,
,1945PO0028,28FD80A17053,28FD80A17054,28FD80A17055,
,1945PO0029,28FD80A17056,28FD80A17057,28FD80A17058,
,1945PO0030,28FD80A17059,28FD80A1705A,28FD80A1705B,
,1945PO0031,28FD80A1705C,28FD80A1705D,28FD80A1705E,
,1945PO0032,28FD80A1705F,28FD80A17060,28FD80A17061,
